Date,Order_dir,Quantity,Price
18/01/2023,SELL,1,591.45
19/01/2023,SELL,1,589.85
20/01/2023,SELL,1,592.2
23/01/2023,SELL,1,600.45
27/01/2023,BUY,1,539.95
30/01/2023,BUY,1,538.2
31/01/2023,SELL,1,553.5
01/02/2023,SELL,1,527.35
02/02/2023,BUY,1,528.1
03/02/2023,BUY,1,544.2
06/02/2023,SELL,1,545.4
07/02/2023,SELL,1,547.1
08/02/2023,BUY,1,549.75
09/02/2023,BUY,1,550.8
10/02/2023,SELL,1,553.05
13/02/2023,SELL,1,537.5
14/02/2023,BUY,1,540.85
15/02/2023,BUY,1,542.25
16/02/2023,SELL,1,540.1
17/02/2023,SELL,1,531.0
20/02/2023,BUY,1,525.15
21/02/2023,BUY,1,523.45
22/02/2023,SELL,1,516.35
23/02/2023,SELL,1,521.0
24/02/2023,BUY,1,521.05
27/02/2023,BUY,1,527.7
28/02/2023,SELL,1,522.8
01/03/2023,SELL,1,536.7
02/03/2023,BUY,1,533.75
03/03/2023,BUY,1,561.2
06/03/2023,SELL,1,561.7
08/03/2023,SELL,1,564.8
09/03/2023,BUY,1,558.9
10/03/2023,BUY,1,547.35
13/03/2023,SELL,1,530.0
14/03/2023,SELL,1,525.4
15/03/2023,BUY,1,517.55
16/03/2023,BUY,1,524.5
17/03/2023,SELL,1,529.8
20/03/2023,SELL,1,519.2
21/03/2023,BUY,1,521.85
22/03/2023,BUY,1,521.55
23/03/2023,SELL,1,512.75
24/03/2023,BUY,1,505.35
27/03/2023,BUY,1,510.15
28/03/2023,SELL,1,508.1
29/03/2023,SELL,1,516.5
31/03/2023,BUY,1,523.75
03/04/2023,BUY,1,526.75
05/04/2023,SELL,1,523.0
06/04/2023,SELL,1,527.65
10/04/2023,BUY,1,526.3
11/04/2023,BUY,1,532.1
12/04/2023,SELL,1,528.2
13/04/2023,SELL,1,532.95
17/04/2023,BUY,1,544.0
18/04/2023,BUY,1,545.85
19/04/2023,SELL,1,540.3
20/04/2023,SELL,1,544.8
21/04/2023,BUY,1,543.15
24/04/2023,BUY,1,554.6
25/04/2023,SELL,1,561.8
26/04/2023,SELL,1,566.35
27/04/2023,BUY,1,564.75
28/04/2023,BUY,1,578.3
02/05/2023,SELL,1,575.3
03/05/2023,SELL,1,570.5
04/05/2023,BUY,1,580.0
05/05/2023,BUY,1,576.5
08/05/2023,SELL,1,583.6
09/05/2023,SELL,1,573.5
10/05/2023,BUY,1,572.2
11/05/2023,BUY,1,573.45
12/05/2023,SELL,1,578.15
15/05/2023,SELL,1,581.9
16/05/2023,BUY,1,586.3
17/05/2023,BUY,1,586.3
18/05/2023,SELL,1,574.2
19/05/2023,SELL,1,575.15
22/05/2023,BUY,1,577.15
23/05/2023,BUY,1,581.6
24/05/2023,SELL,1,582.7
25/05/2023,SELL,1,581.25
26/05/2023,BUY,1,586.0
29/05/2023,BUY,1,595.0
30/05/2023,SELL,1,592.8
31/05/2023,SELL,1,579.85
01/06/2023,BUY,1,582.75
02/06/2023,BUY,1,587.2
05/06/2023,SELL,1,587.2
06/06/2023,SELL,1,585.35
07/06/2023,BUY,1,589.2
08/06/2023,BUY,1,588.5
09/06/2023,SELL,1,578.7
12/06/2023,SELL,1,578.65
13/06/2023,BUY,1,576.4
14/06/2023,BUY,1,576.55
15/06/2023,SELL,1,566.5
16/06/2023,SELL,1,571.25
19/06/2023,BUY,1,568.85
20/06/2023,BUY,1,567.4
21/06/2023,SELL,1,566.35
22/06/2023,SELL,1,562.95
23/06/2023,BUY,1,554.6
26/06/2023,BUY,1,557.05
27/06/2023,SELL,1,566.1
28/06/2023,SELL,1,569.8
30/06/2023,BUY,1,572.85
03/07/2023,BUY,1,585.45
04/07/2023,SELL,1,589.25
05/07/2023,SELL,1,590.6
06/07/2023,BUY,1,592.5
07/07/2023,BUY,1,593.6
10/07/2023,SELL,1,592.6
11/07/2023,SELL,1,588.55
12/07/2023,BUY,1,589.25
13/07/2023,BUY,1,585.65
14/07/2023,SELL,1,584.4
17/07/2023,SELL,1,601.1
18/07/2023,BUY,1,592.35
19/07/2023,BUY,1,601.45
20/07/2023,SELL,1,610.05
21/07/2023,SELL,1,615.1
24/07/2023,BUY,1,617.65
25/07/2023,BUY,1,609.6
26/07/2023,SELL,1,615.15
27/07/2023,SELL,1,616.55
28/07/2023,BUY,1,616.05
31/07/2023,BUY,1,620.2
01/08/2023,SELL,1,611.85
02/08/2023,SELL,1,598.45
03/08/2023,BUY,1,590.5
04/08/2023,BUY,1,573.3
07/08/2023,SELL,1,567.9
08/08/2023,SELL,1,573.1
09/08/2023,BUY,1,573.75
10/08/2023,BUY,1,573.65
18/09/2023,BUY,1,603.95
